dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
covertype,extra_trees,confidence,best_auc_score,TPR@0.1%FPR,0.02162307406029029,0.021274658965324034,0.021966634921883266,0.000691975956559232,0.95,1000,20261905,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,AUC,0.9768765533241999,0.9765133508430118,0.9772416920820912,0.0007283412390793886,0.95,1000,20262003,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@1%FPR,0.21623074060290287,0.21271543402605086,0.21989830414239167,0.007182870116340806,0.95,1000,20262004,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.02162307406029029,0.021287130348044234,0.021974776808618778,0.0006876464605745439,0.95,1000,20262005,290506,290506
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.502556175880257,0.5009978643382558,0.5039569452354858,0.002959080897230071,0.95,1000,20262103,290506,290506
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.010671242590514482,0.010179040364054443,0.01116689810193249,0.0009878577378780468,0.95,1000,20262104,290506,290506
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0011359773371104815,0.0009855156677821722,0.0013073518664538338,0.00032183619867166163,0.95,1000,20262105,290506,290506
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5044702824897708,0.4995171277427706,0.5098510231241621,0.010333895381391511,0.95,1000,20262203,24421,24421
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.009786659022972032,0.008025879366119324,0.011056058310470497,0.0030301789443511733,0.95,1000,20262204,24421,24421
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0014310347651611318,0.0008127109693842732,0.002008708885283158,0.0011959979158988848,0.95,1000,20262205,24421,24421
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5116927139047024,0.5066673357909272,0.5165668303107789,0.009899494519851726,0.95,1000,20262303,24421,24421
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.009724144520426409,0.007873155927647965,0.0122026125056304,0.004329456577982435,0.95,1000,20262304,24421,24421
