dataset,model,attack_score,corruption_rate,repeat,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,random_forest,neg_loss,0.0,23,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,24,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,24,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,24,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,24,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,24,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,25,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,25,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,25,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,25,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,25,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,26,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,26,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,26,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,26,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,26,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,27,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,27,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,27,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,27,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,27,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,28,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,28,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,28,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,28,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,28,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,29,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,29,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,29,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,29,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,29,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,30,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,30,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,30,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,30,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,30,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,31,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,31,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,31,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,31,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
