dataset,model,best_auc_score,best_auc,best_auc_ci_lower,best_auc_ci_upper,best_auc_ci_width,neg_loss_tpr_1pct,neg_loss_tpr_1pct_ci_lower,neg_loss_tpr_1pct_ci_upper,neg_loss_tpr_1pct_ci_width,neg_loss_tpr_0_1pct,neg_loss_tpr_0_1pct_ci_lower,neg_loss_tpr_0_1pct_ci_upper,neg_loss_tpr_0_1pct_ci_width,n_bootstrap,n_members,n_nonmembers
adult_income,extra_trees,neg_loss,0.8696655061924982,0.8670447856329496,0.8723440955759668,0.0052993099430171,0.0383765519409083,0.0376487434474252,0.039142393395319,0.0014936499478937,0.0038376551940908,0.0037603826609177,0.0039222732200888,0.000161890559171,1000,24421,24421
adult_income,small_mlp,neg_loss,0.5129719491163598,0.5077697809133074,0.5182910135095044,0.0105212325961969,0.0098742885221735,0.0083051062610048,0.0115064903157118,0.003201384054707,0.001065868263473,0.0008600854112694,0.0013266761006289,0.0004665906893595,1000,24421,24421
bank_marketing,logistic_regression,neg_loss,0.5021225613176207,0.4967012967864995,0.5077969653516924,0.0110956685651928,0.0102457026318345,0.0084478488880256,0.0130134990774011,0.0045656501893755,0.0013596193065941,0.0005341361561619,0.002282218121783,0.001748081965621,1000,20594,20594
bank_marketing,hist_gradient_boosting,modified_entropy,0.5121685482304054,0.5067827058174679,0.5175859432429439,0.010803237425476,0.0120909002622122,0.0101485869670777,0.0148101388754006,0.0046615519083228,0.0013596193065941,0.0006596114159463,0.0021143561231426,0.0014547447071962,1000,20594,20594
bank_marketing,random_forest,neg_loss,0.659716010104443,0.6541583675682477,0.6648210196177604,0.0106626520495126,0.0250330639235855,0.0235472683008034,0.0265678884680991,0.0030206201672957,0.0025033063923585,0.0023625512287715,0.0026549657693234,0.0002924145405519,1000,20594,20594
bank_marketing,extra_trees,neg_loss,0.8806837586495496,0.8778812549014668,0.8838161369041894,0.0059348820027225,0.0437010904425914,0.0426005173600007,0.0448169858119166,0.0022164684519158,0.0043701090442591,0.0042607567229518,0.0044814843289594,0.0002207276060076,1000,20594,20594
bank_marketing,small_mlp,modified_entropy,0.507055381837111,0.501516070183266,0.5126842897534938,0.0111682195702277,0.0115567641060503,0.0089346411576187,0.0134505195688064,0.0045158784111877,0.0010682723123239,0.0005329222103525,0.0016995241332426,0.0011666019228901,1000,20594,20594
diabetes_readmission,logistic_regression,neg_loss,0.503825830484123,0.500479995905603,0.5073758134719198,0.0068958175663168,0.0105929288760489,0.009512017766248,0.0117721046321954,0.0022600868659473,0.0010022993927244,0.0006288937366114,0.0014543167659139,0.0008254230293025,1000,50883,50883
diabetes_readmission,hist_gradient_boosting,neg_loss,0.5068766792214405,0.5031471129044881,0.5105989152503061,0.0074518023458179,0.0096659002024251,0.0085883300906,0.0108489082797791,0.002260578189179,0.0012075054536878,0.0008250184737535,0.0017101812000078,0.0008851627262543,1000,50883,50883
diabetes_readmission,random_forest,modified_entropy,0.7989681991205795,0.7962613008963665,0.8018236558901838,0.0055623549938172,0.1158444768472476,0.1083420036265174,0.1234580976828017,0.0151160940562842,0.0125781249999999,0.0100243905297702,0.0164424596949006,0.0064180691651303,1000,50883,50883
diabetes_readmission,extra_trees,neg_loss,0.9982017569718766,0.9979462688913784,0.99847714364326,0.0005308747518817,1.0,1.0,1.0,0.0,0.2780491803278688,0.2434593301435406,0.3220955847375634,0.0786362545940227,1000,50883,50883
diabetes_readmission,small_mlp,modified_entropy,0.5103011613019532,0.5066958243786988,0.5138993946489532,0.0072035702702544,0.0113004343297368,0.0099635438162058,0.0129709333176109,0.0030073895014051,0.0016704989878741,0.0010809111098009,0.0022207810074091,0.0011398698976082,1000,50883,50883
