dataset,model,attack_score,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
covertype,random_forest,modified_entropy,TPR@1%FPR,0.031477461512902864,-6.99982313612476e-24,0.01,0.3217477018495957,290506,290506
covertype,random_forest,modified_entropy,membership_advantage@1%FPR,0.021477461512902862,-6.99982313612476e-24,0.01,0.3217477018495957,290506,290506
covertype,random_forest,modified_entropy,TPR@0.1%FPR,0.0031477461512902866,-6.99982313612476e-24,0.001,0.032174770184959574,290506,290506
covertype,random_forest,modified_entropy,membership_advantage@0.1%FPR,0.0021477461512902866,-6.99982313612476e-24,0.001,0.032174770184959574,290506,290506
covertype,hist_gradient_boosting,neg_loss,AUC,0.5067811146286483,,,,290506,290506
covertype,hist_gradient_boosting,neg_loss,TPR@1%FPR,0.010392418745223852,-0.011064122430980206,0.01,0.06000000000010437,290506,290506
covertype,hist_gradient_boosting,neg_loss,membership_advantage@1%FPR,0.00039241874522385166,-0.011064122430980206,0.01,0.06000000000010437,290506,290506
covertype,hist_gradient_boosting,neg_loss,TPR@0.1%FPR,0.0009945652173913044,0.0,0.001,0.5262789855072464,290506,290506
covertype,hist_gradient_boosting,neg_loss,membership_advantage@0.1%FPR,-5.434782608695638e-06,0.0,0.001,0.5262789855072464,290506,290506
covertype,hist_gradient_boosting,confidence,AUC,0.5020829815251336,,,,290506,290506
covertype,hist_gradient_boosting,confidence,TPR@1%FPR,0.009314781794524038,0.9903107285499573,0.01,0.5300000000000821,290506,290506
covertype,hist_gradient_boosting,confidence,membership_advantage@1%FPR,-0.0006852182054759622,0.9903107285499573,0.01,0.5300000000000821,290506,290506
covertype,hist_gradient_boosting,confidence,TPR@0.1%FPR,0.0008446069469835465,1.0,0.001,0.26554478976234,290506,290506
covertype,hist_gradient_boosting,confidence,membership_advantage@0.1%FPR,-0.0001553930530164535,1.0,0.001,0.26554478976234,290506,290506
covertype,hist_gradient_boosting,neg_entropy,AUC,0.5025612490885318,,,,290506,290506
covertype,hist_gradient_boosting,neg_entropy,TPR@1%FPR,0.009373300379338121,-0.05953279510140419,0.01,0.06000000000010437,290506,290506
covertype,hist_gradient_boosting,neg_entropy,membership_advantage@1%FPR,-0.0006266996206618792,-0.05953279510140419,0.01,0.06000000000010437,290506,290506
covertype,hist_gradient_boosting,neg_entropy,TPR@0.1%FPR,0.0008304668304668305,-1.6578612094253486e-10,0.001,0.3568869778869779,290506,290506
covertype,hist_gradient_boosting,neg_entropy,membership_advantage@0.1%FPR,-0.00016953316953316954,-1.6578612094253486e-10,0.001,0.3568869778869779,290506,290506
covertype,hist_gradient_boosting,modified_entropy,AUC,0.5068155603841812,,,,290506,290506
covertype,hist_gradient_boosting,modified_entropy,TPR@1%FPR,0.010306155466668503,-0.00020391328143887222,0.01,0.06000000000010437,290506,290506
covertype,hist_gradient_boosting,modified_entropy,membership_advantage@1%FPR,0.0003061554666685031,-0.00020391328143887222,0.01,0.06000000000010437,290506,290506
covertype,hist_gradient_boosting,modified_entropy,TPR@0.1%FPR,0.000996870109546166,-6.99982313612476e-24,0.001,0.4546259780907669,290506,290506
covertype,hist_gradient_boosting,modified_entropy,membership_advantage@0.1%FPR,-3.1298904538340847e-06,-6.99982313612476e-24,0.001,0.4546259780907669,290506,290506
covertype,extra_trees,neg_loss,AUC,0.9768765533241999,,,,290506,290506
covertype,extra_trees,neg_loss,TPR@1%FPR,0.21623074060290287,0.0,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,neg_loss,membership_advantage@1%FPR,0.20623074060290286,0.0,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,neg_loss,TPR@0.1%FPR,0.02162307406029029,0.0,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,neg_loss,membership_advantage@0.1%FPR,0.02062307406029029,0.0,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,confidence,AUC,0.9768765533241999,,,,290506,290506
covertype,extra_trees,confidence,TPR@1%FPR,0.21623074060290287,1.0,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,confidence,membership_advantage@1%FPR,0.20623074060290286,1.0,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,confidence,TPR@0.1%FPR,0.02162307406029029,1.0,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,confidence,membership_advantage@0.1%FPR,0.02062307406029029,1.0,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,neg_entropy,AUC,0.9768765533241999,,,,290506,290506
covertype,extra_trees,neg_entropy,TPR@1%FPR,0.21623074060290287,-1.6578612094253486e-10,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,neg_entropy,membership_advantage@1%FPR,0.20623074060290286,-1.6578612094253486e-10,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,neg_entropy,TPR@0.1%FPR,0.02162307406029029,-1.6578612094253486e-10,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,neg_entropy,membership_advantage@0.1%FPR,0.02062307406029029,-1.6578612094253486e-10,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,modified_entropy,AUC,0.9768765533241998,,,,290506,290506
covertype,extra_trees,modified_entropy,TPR@1%FPR,0.21623074060290287,-6.99982313612476e-24,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,modified_entropy,membership_advantage@1%FPR,0.20623074060290286,-6.99982313612476e-24,0.01,0.21623074060290287,290506,290506
covertype,extra_trees,modified_entropy,TPR@0.1%FPR,0.02162307406029029,-6.99982313612476e-24,0.001,0.02162307406029029,290506,290506
covertype,extra_trees,modified_entropy,membership_advantage@0.1%FPR,0.02062307406029029,-6.99982313612476e-24,0.001,0.02162307406029029,290506,290506
covertype,small_mlp,neg_loss,AUC,0.5025561758802571,,,,290506,290506
covertype,small_mlp,neg_loss,TPR@1%FPR,0.010671242590514482,-8.988784247776493e-05,0.01,0.5300000000000821,290506,290506
covertype,small_mlp,neg_loss,membership_advantage@1%FPR,0.0006712425905144818,-8.988784247776493e-05,0.01,0.5300000000000821,290506,290506
covertype,small_mlp,neg_loss,TPR@0.1%FPR,0.0011359773371104815,0.0,0.001,0.8229631728045326,290506,290506
covertype,small_mlp,neg_loss,membership_advantage@0.1%FPR,0.00013597733711048147,0.0,0.001,0.8229631728045326,290506,290506
covertype,small_mlp,confidence,AUC,0.5006677984841903,,,,290506,290506
covertype,small_mlp,confidence,TPR@1%FPR,0.010638437760321647,0.9999111890792847,0.01,0.5300000000000821,290506,290506
covertype,small_mlp,confidence,membership_advantage@1%FPR,0.0006384377603216463,0.9999111890792847,0.01,0.5300000000000821,290506,290506
covertype,small_mlp,confidence,TPR@0.1%FPR,0.001135593220338983,1.0,0.001,0.820638418079096,290506,290506
covertype,small_mlp,confidence,membership_advantage@0.1%FPR,0.000135593220338983,1.0,0.001,0.820638418079096,290506,290506
covertype,small_mlp,neg_entropy,AUC,0.5008506313664012,,,,290506,290506
covertype,small_mlp,neg_entropy,TPR@1%FPR,0.010619402008908594,-0.0009372018394060433,0.01,0.06000000000010437,290506,290506
covertype,small_mlp,neg_entropy,membership_advantage@1%FPR,0.0006194020089085941,-0.0009372018394060433,0.01,0.06000000000010437,290506,290506
covertype,small_mlp,neg_entropy,TPR@0.1%FPR,0.001043007717568656,-3.2139178074430674e-07,0.001,0.5060000000000276,290506,290506
covertype,small_mlp,neg_entropy,membership_advantage@0.1%FPR,4.300771756865604e-05,-3.2139178074430674e-07,0.001,0.5060000000000276,290506,290506
covertype,small_mlp,modified_entropy,AUC,0.5025407797375925,,,,290506,290506
covertype,small_mlp,modified_entropy,TPR@1%FPR,0.010695131942197407,-1.4732304265407947e-08,0.01,0.06000000000010437,290506,290506
covertype,small_mlp,modified_entropy,membership_advantage@1%FPR,0.0006951319421974068,-1.4732304265407947e-08,0.01,0.06000000000010437,290506,290506
covertype,small_mlp,modified_entropy,TPR@0.1%FPR,0.0010567767963484403,-2.8918506853583745e-16,0.001,0.5060000000000276,290506,290506
covertype,small_mlp,modified_entropy,membership_advantage@0.1%FPR,5.6776796348440234e-05,-2.8918506853583745e-16,0.001,0.5060000000000276,290506,290506
adult_income,logistic_regression,neg_loss,AUC,0.5044702824897707,,,,24421,24421
adult_income,logistic_regression,neg_loss,TPR@1%FPR,0.009786659022972032,-0.00026365535450167954,0.01,0.2100000000000029,24421,24421
adult_income,logistic_regression,neg_loss,membership_advantage@1%FPR,-0.0002133409770279683,-0.00026365535450167954,0.01,0.2100000000000029,24421,24421
adult_income,logistic_regression,neg_loss,TPR@0.1%FPR,0.0014310347651611318,-1.1102230246251565e-15,0.001,0.8421,24421,24421
adult_income,logistic_regression,neg_loss,membership_advantage@0.1%FPR,0.0004310347651611318,-1.1102230246251565e-15,0.001,0.8421,24421,24421
adult_income,logistic_regression,confidence,AUC,0.503212069763477,,,,24421,24421
adult_income,logistic_regression,confidence,TPR@1%FPR,0.009622865566520618,0.9997418522834778,0.01,0.2100000000000029,24421,24421
adult_income,logistic_regression,confidence,membership_advantage@1%FPR,-0.00037713443347938205,0.9997418522834778,0.01,0.2100000000000029,24421,24421
adult_income,logistic_regression,confidence,TPR@0.1%FPR,0.0009624999999999999,1.0,0.001,0.15263125,24421,24421
adult_income,logistic_regression,confidence,membership_advantage@0.1%FPR,-3.75000000000001e-05,1.0,0.001,0.15263125,24421,24421
adult_income,logistic_regression,neg_entropy,AUC,0.5032127396325021,,,,24421,24421
