dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
covertype,logistic_regression,neg_entropy,best_auc_score,AUC,0.5007097630501208,0.4992817344250331,0.5022710560703609,0.0029893216453277,0.95,1000,20261303,290506,290506,0.5007097630501207,0.4992230971932321,0.5020112220996484,0.0027881249064163,50,1.072162024896513
covertype,logistic_regression,neg_entropy,best_auc_score,TPR@1%FPR,0.0097829304730367,0.0093282927030767,0.0102786173091089,0.0009503246060322,0.95,1000,20261304,290506,290506,0.0097829304730367,0.0093264855114868,0.0102505628110951,0.0009240772996082,50,1.0284037995902815
covertype,logistic_regression,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0009672777842798,0.0008088473215699,0.0011360350560745,0.0003271877345046,0.95,1000,20261305,290506,290506,0.0009672777842798,0.0008345782875396,0.0010973095220064,0.0002627312344667,50,1.2453324598757196
covertype,logistic_regression,neg_loss,canonical_neg_loss,AUC,0.5003382028257147,0.4989185928885341,0.5018651761659818,0.0029465832774476,0.95,1000,20261403,290506,290506,0.5003382028257146,0.4993302821581641,0.5017578193780189,0.0024275372198547,50,1.2138159008840934
covertype,logistic_regression,neg_loss,canonical_neg_loss,TPR@1%FPR,0.009824237709376,0.0093732143225957,0.0103029713672006,0.0009297570446049,0.95,1000,20261404,290506,290506,0.009824237709376,0.0094055716577282,0.0102746586989597,0.0008690870412315,50,1.0698088919694744
covertype,logistic_regression,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.000956950975195,0.0007986065692274,0.0011221799205524,0.0003235733513249,0.95,1000,20261405,290506,290506,0.000956950975195,0.0008372460465532,0.0010973095220064,0.0002600634754531,50,1.2442091330247311
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5068155603841811,0.5052463866423527,0.508282258306047,0.0030358716636943,0.95,1000,20261503,290506,290506,0.5068155603841812,0.5053583270378277,0.5083443931189644,0.0029860660811367,50,1.0166793303310422
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.0103061554666685,0.0098103825738538,0.0107949577633508,0.0009845751894969,0.95,1000,20261504,290506,290506,0.0103061554666685,0.009807198474386,0.0107488193014946,0.0009416208271085,50,1.0456174727148964
covertype,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0009968701095461,0.0008906804044354,0.0011173925399175,0.000226712135482,0.95,1000,20261505,290506,290506,0.0009968701095461,0.0009025088189043,0.0011306451950735,0.0002281363761692,50,0.9937570644755764
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5067811146286483,0.505291136955615,0.5081887913343498,0.0028976543787347,0.95,1000,20261603,290506,290506,0.5067811146286483,0.5053196126983109,0.5083147656515724,0.0029951529532614,50,0.9674478812774704
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0103924187452238,0.0098413681645129,0.0109567444390133,0.0011153762745003,0.95,1000,20261604,290506,290506,0.0103924187452238,0.009898848905014,0.0109876388095254,0.0010887899045114,50,1.0244182737906913
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0009945652173913,0.0008865806406974,0.0011235473888954,0.000236966748198,0.95,1000,20261605,290506,290506,0.0009945652173913,0.0008936599134987,0.0011020790650561,0.0002084191515574,50,1.136972041327679
covertype,random_forest,neg_entropy,best_auc_score,AUC,0.699628052558467,0.698296426482249,0.7009670485480722,0.0026706220658232,0.95,1000,20261703,290506,290506,0.6996280525584669,0.6982822587987969,0.7011181769529937,0.0028359181541968,50,0.9417133783889416
covertype,random_forest,neg_entropy,best_auc_score,TPR@1%FPR,0.0314774615129028,0.0307943128840272,0.0322357461292492,0.001441433245222,0.95,1000,20261704,290506,290506,0.0314774615129028,0.0306820080277717,0.0320286344123426,0.0013466263845708,50,1.0704032400801482
covertype,random_forest,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0031477461512902,0.0030760833137677,0.0032267254367089,0.0001506421229411,0.95,1000,20261705,290506,290506,0.0031477461512902,0.0030911586240375,0.0032241452411848,0.0001329866171473,50,1.1327615227195698
covertype,random_forest,neg_loss,canonical_neg_loss,AUC,0.6995279023293506,0.6982580537545786,0.7009866142007208,0.0027285604461422,0.95,1000,20261803,290506,290506,0.6995279023293505,0.6982242233438857,0.701073871033199,0.0028496476893132,50,0.9575079952426738
covertype,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0314774615129028,0.030778803247021,0.032281584492132,0.0015027812451109,0.95,1000,20261804,290506,290506,0.0314774615129028,0.0306820080277717,0.0320286344123426,0.0013466263845708,50,1.1159600482578322
