dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0383765519409083,0.0376487434474252,0.039142393395319,0.0014936499478937,0.95,1000,20262704,24421,24421
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0038376551940908,0.0037603826609177,0.0039222732200888,0.000161890559171,0.95,1000,20262705,24421,24421
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5129719491163598,0.5077697809133074,0.5182910135095044,0.0105212325961969,0.95,1000,20262803,24421,24421
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0098742885221735,0.0083051062610048,0.0115064903157118,0.003201384054707,0.95,1000,20262804,24421,24421
adult_income,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.001065868263473,0.0008600854112694,0.0013266761006289,0.0004665906893595,0.95,1000,20262805,24421,24421
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5021225613176207,0.4967012967864995,0.5077969653516924,0.0110956685651928,0.95,1000,20262903,20594,20594
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0102457026318345,0.0084478488880256,0.0130134990774011,0.0045656501893755,0.95,1000,20262904,20594,20594
bank_marketing,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0013596193065941,0.0005341361561619,0.002282218121783,0.001748081965621,0.95,1000,20262905,20594,20594
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5121685482304054,0.5067827058174679,0.5175859432429439,0.010803237425476,0.95,1000,20263003,20594,20594
bank_marketing,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.0120909002622122,0.009903369913567,0.0147130232106438,0.0048096532970768,0.95,1000,20263004,20594,20594
